590045.76,825.11,591,79,51,6,2015
467173.85,945.18,40990,84,87,5,2006
812809.56,779.2,38511,178,42,2,2013
432133.2,737.85,21512,196,86,8,2008
667508.75,435.83,33373,194,99,4,2008
88253.9,517.14,40228,201,79,3,2008
790271.54,855.14,18695,18,23,4,2013
672543.48,713.3,25484,156,67,3,2016
396377.08,909.39,23477,65,101,7,2020
452451.51,624.22,37157,107,37,6,2017
733579.95,805.47,47140,76,46,3,2006
582807.01,878.65,45308,53,56,6,2019
963019.16,108.8,21454,40,1,3,2010
14536.72,254.05,2961,83,107,1,2006
762392.53,563.89,10485,53,22,6,2017
705847.94,894.11,31993,182,104,2,2012
911770.68,905.65,6044,87,95,8,2014
309021.98,690.37,21940,181,102,7,2012
759881.92,392.53,22120,135,62,1,2006
596545.65,857.03,28469,138,80,1,2017
366689.53,405.23,44884,73,37,5,2016
536198.73,390.14,10239,54,97,7,2010
106082.08,769.43,26474,70,18,4,2019
584281.31,997.07,36755,55,33,7,2019
515399.48,847.88,5792,57,61,1,2005
214734.86,678.29,35863,189,8,8,2006
168959.22,58.54,34125,193,51,1,2006
751094.83,103.68,15382,107,96,6,2010
538805.76,33.77,5785,123,15,2,2015
853532.08,260.99,18617,60,104,5,2008
552532.35,911.48,44738,205,26,5,2005
728798.45,529.72,40105,8,58,7,2009
524768.92,554.28,32843,120,43,8,2014
947254.26,459.35,41529,40,51,4,2020
856384.67,622.21,38530,188,5,4,2007
549706.37,820.62,1005,13,88,3,2015
776130.56,488.23,25694,79,13,4,2012
611781.35,581.53,20873,61,58,1,2019
605402.42,274.52,32534,188,55,1,2011
175720.99,760.57,16393,8,34,4,2013
687446.54,941.15,51231,84,28,3,2015
416191.8,808.44,46284,39,24,8,2015
438172.04,284.16,19742,177,93,2,2013
520073.09,498.86,25170,152,122,6,2011
577068.16,968.41,42871,202,19,5,2010
788641.04,779.3,3738,98,11,7,2014
247852.16,883.25,21084,15,23,3,2018
543937.31,396.3,37297,34,34,1,2014
814374.0,562.93,20260,4,12,7,2012
491509.23,514.45,22103,116,1,1,2013
374641.0,915.32,5927,9,83,3,2007
290115.24,441.13,8806,135,109,6,2014
226271.11,65.33,7115,61,108,5,2008
414545.05,846.3,33308,102,118,4,2008
226761.1,808.52,19175,151,76,7,2008
932198.81,800.65,17686,167,96,7,2007
263669.37,595.3,44684,181,93,9,2019
150120.32,719.23,26139,32,10,7,2019
106137.49,626.79,4538,90,103,9,2014
675068.46,514.75,14362,134,33,4,2016
642345.18,463.68,5528,53,80,9,2019
357352.22,647.59,39153,20,9,2,2007
997589.84,94.31,45107,144,18,8,2015
815064.66,646.1,1145,88,3,9,2006
22240.79,113.47,35350,23,19,7,2016
63226.56,713.57,5432,55,58,6,2010
461429.12,442.98,17678,102,114,5,2009
461002.72,949.57,46521,68,108,6,2005
796187.69,108.9,11607,141,51,6,2013
784463.25,107.48,42304,53,43,1,2016
771885.5,577.06,13874,5,53,8,2015
793502.12,587.84,41927,113,40,6,2020
36079.28,160.92,25134,160,65,4,2005
727217.22,805.62,43312,121,120,6,2020
437558.81,132.95,21178,129,37,4,2012
523826.01,890.96,51985,62,21,4,2006
54179.93,230.78,4589,147,16,5,2009
607182.74,991.53,34579,197,59,2,2015
469434.08,333.26,46218,187,82,3,2017
182710.26,509.1,37465,27,0,4,2007
661885.05,141.35,3751,72,124,2,2013
931517.24,337.17,9616,129,105,6,2005
735121.53,312.76,52527,156,45,7,2007
44881.61,144.14,49489,186,113,7,2015
950914.09,264.29,5137,52,20,8,2017
414035.18,212.48,27669,94,93,4,2018
927657.52,929.15,7618,143,113,4,2007
659413.86,288.46,28165,81,121,5,2011
989984.59,707.63,36698,32,73,7,2016
364637.2,23.02,27088,96,16,7,2019
354679.4,813.37,23380,3,40,1,2016
851097.98,349.95,25434,102,55,2,2014
218817.17,435.68,49077,176,17,4,2020
260566.71,72.48,26145,114,14,3,2017
743361.28,287.55,15340,52,73,8,2005
119892.99,532.64,19191,13,78,1,2013
721078.34,76.3,51421,159,90,6,2019
364432.08,10.25,8888,92,86,7,2014
750431.53,935.8,12964,26,92,8,2007
905346.54,480.01,21569,179,33,1,2018
298746.03,747.23,50019,143,65,3,2018
256075.4,318.34,46598,109,59,7,2014
74194.47,52.42,49696,180,13,6,2011
156621.37,252.04,12334,8,5,4,2015
792976.93,712.74,31385,159,75,5,2007
225053.13,466.52,24274,41,81,5,2019
345698.85,326.27,8283,35,12,1,2005
360782.44,447.81,28789,39,116,1,2019
211362.68,92.12,27630,100,10,6,2005
912128.94,173.21,48364,66,22,7,2020
74222.06,464.36,3163,140,109,3,2017
344023.31,114.97,50627,68,112,2,2012
52101.2,671.36,19297,81,70,2,2009
602861.63,537.13,41675,5,91,8,2019
160725.95,285.52,7159,190,63,4,2012
956222.5,106.6,28245,22,18,6,2015
652701.98,927.69,41518,172,100,4,2011
485750.55,912.53,168,177,38,4,2012
114519.58,158.91,13662,196,85,4,2014
748610.81,670.72,3362,176,46,5,2011
192400.81,586.85,30696,164,11,3,2005
935942.86,825.87,10284,129,121,2,2011
561905.2,124.25,19844,66,63,8,2016
226666.07,795.02,48179,153,54,7,2013
528110.15,199.75,42088,114,53,9,2009
711999.57,354.84,20240,170,110,1,2011
470819.96,337.31,52221,194,91,1,2006
525722.04,550.15,4894,35,40,9,2010
783745.66,53.87,26452,121,83,3,2011
512477.85,231.68,38978,13,80,8,2014
944804.16,563.58,15205,117,0,7,2005
737287.23,531.8,25238,98,107,4,2017
198303.13,816.34,47936,177,59,5,2017
771684.47,485.52,53016,71,71,1,2010
260058.13,46.8,22623,154,104,1,2007
228807.59,774.68,43508,116,57,7,2012
764241.71,460.98,4284,136,119,5,2019
749225.45,783.37,43651,161,101,4,2010
341824.19,543.6,23431,87,56,5,2015
250039.93,952.88,35982,10,4,2,2012
244250.02,663.08,24024,8,87,5,2007
44556.23,588.68,36908,195,88,7,2005
587473.59,612.45,50209,28,108,8,2008
778899.25,827.03,36392,184,20,1,2015
471695.79,690.8,45420,85,80,4,2019
82984.71,644.04,25703,82,9,2,2005
984307.64,77.06,25328,157,96,2,2007
957371.08,904.08,41960,2,46,4,2010
892537.35,468.82,14948,133,22,6,2013
286673.0,585.52,3672,34,20,3,2020
953661.05,578.69,495,101,6,1,2007
478123.62,110.17,9671,181,83,1,2007
238810.19,633.27,4362,146,41,7,2008
748981.46,106.35,846,202,119,2,2018
928782.18,1.48,36348,114,97,5,2014
206626.25,748.89,52664,49,110,9,2005
366926.82,500.73,47000,122,69,4,2015
